activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
15464530,CHEMBL3529545,CHEMBL325166,CL,mL.min-1.kg-1,=,4.357,CHEMBL372,Homo sapiens,Total biliary clearance in human,A,N=C(N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C2CC2)C1,4.357,mL.min-1.kg-1,species_only_human
15464545,CHEMBL3529741,CHEMBL325166,CL,mL.min-1.kg-1,=,7.922,CHEMBL372,Homo sapiens,Unbound biliary clearance in human,A,N=C(N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C2CC2)C1,7.922,mL.min-1.kg-1,species_only_human
15464549,CHEMBL3529740,CHEMBL8,CL,mL.min-1.kg-1,=,0.084,CHEMBL372,Homo sapiens,"Unbound biliary clearance in human at 400 mg, po after 12 hrs by T-tube method",A,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.084,mL.min-1.kg-1,species_only_human
15464550,CHEMBL3529544,CHEMBL8,CL,mL.min-1.kg-1,=,0.059,CHEMBL372,Homo sapiens,"Total biliary clearance in human at 400 mg, po after 24 hrs by T-tube method",A,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.059,mL.min-1.kg-1,species_only_human
15464554,CHEMBL3529739,CHEMBL914,CL,mL.min-1.kg-1,=,4.0,CHEMBL372,Homo sapiens,"Unbound biliary clearance in human at 60 mg, po after 24 hrs by fecal extraction method",A,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,4.0,mL.min-1.kg-1,species_only_human
15464555,CHEMBL3529543,CHEMBL914,CL,mL.min-1.kg-1,=,1.4,CHEMBL372,Homo sapiens,"Total biliary clearance in human at 60 mg, po after 12 hrs by fecal extraction method",A,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.4,mL.min-1.kg-1,species_only_human
15464559,CHEMBL3529738,CHEMBL651,CL,mL.min-1.kg-1,=,0.006,CHEMBL372,Homo sapiens,Unbound biliary clearance in po dosed human after 24 hrs by T-tube method,A,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0.006,mL.min-1.kg-1,species_only_human
15464560,CHEMBL3529542,CHEMBL651,CL,mL.min-1.kg-1,=,0.001,CHEMBL372,Homo sapiens,Total biliary clearance in po dosed human after 24 hrs by T-tube method,A,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0.001,mL.min-1.kg-1,species_only_human
15464564,CHEMBL3529737,CHEMBL90555,CL,mL.min-1.kg-1,=,0.523,CHEMBL372,Homo sapiens,Unbound biliary clearance in iv dosed human after 72 hrs by T-tube method,A,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0.523,mL.min-1.kg-1,species_only_human
15464565,CHEMBL3529541,CHEMBL90555,CL,mL.min-1.kg-1,=,0.209,CHEMBL372,Homo sapiens,Total biliary clearance in iv dosed human after 72 hrs by T-tube method,A,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0.209,mL.min-1.kg-1,species_only_human
15464568,CHEMBL3529736,CHEMBL1790041,CL,mL.min-1.kg-1,=,0.161,CHEMBL372,Homo sapiens,"Unbound biliary clearance in human at 50 mg, iv after 24 hrs by T-tube method",A,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0.161,mL.min-1.kg-1,species_only_human
15464569,CHEMBL3529540,CHEMBL1790041,CL,mL.min-1.kg-1,=,0.153,CHEMBL372,Homo sapiens,"Total biliary clearance in human at 50 mg, iv after 24 hrs by T-tube method",A,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0.153,mL.min-1.kg-1,species_only_human
15464573,CHEMBL3529735,CHEMBL1034,CL,mL.min-1.kg-1,=,8.4,CHEMBL372,Homo sapiens,Unbound biliary clearance in iv dosed human after 8 hrs by T-tube method,A,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],8.4,mL.min-1.kg-1,species_only_human
15464574,CHEMBL3529539,CHEMBL1034,CL,mL.min-1.kg-1,=,0.042,CHEMBL372,Homo sapiens,Total biliary clearance in iv dosed human after 8 hrs by T-tube method,A,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],0.042,mL.min-1.kg-1,species_only_human
15464578,CHEMBL3529547,CHEMBL1144,CL,mL.min-1.kg-1,=,6.21,CHEMBL372,Homo sapiens,Unbound biliary clearance in iv dosed human after 24 hrs by T-tube method,A,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,6.21,mL.min-1.kg-1,species_only_human
15464582,CHEMBL3529547,CHEMBL34259,CL,mL.min-1.kg-1,=,1.108,CHEMBL372,Homo sapiens,Unbound biliary clearance in iv dosed human after 24 hrs by T-tube method,A,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1.108,mL.min-1.kg-1,species_only_human
15464586,CHEMBL3529734,CHEMBL74632,CL,mL.min-1.kg-1,=,0.008,CHEMBL372,Homo sapiens,"Unbound biliary clearance in human at 1 gm, iv after 8 hrs by T-tube method",A,CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,0.008,mL.min-1.kg-1,species_only_human
15464587,CHEMBL3529537,CHEMBL74632,CL,mL.min-1.kg-1,=,0.003,CHEMBL372,Homo sapiens,"Total biliary clearance in human at 1 gm, iv after 8 hrs by T-tube method",A,CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,0.003,mL.min-1.kg-1,species_only_human
15464592,CHEMBL3529733,CHEMBL1069,CL,mL.min-1.kg-1,=,10.78,CHEMBL372,Homo sapiens,"Unbound biliary clearance in human at 20 mg, iv after 24 hrs by T-tube method",A,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,10.78,mL.min-1.kg-1,species_only_human
15464593,CHEMBL3529536,CHEMBL1069,CL,mL.min-1.kg-1,=,0.431,CHEMBL372,Homo sapiens,"Total biliary clearance in human at 20 mg, iv after 24 hrs by T-tube method",A,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,0.431,mL.min-1.kg-1,species_only_human
15464598,CHEMBL3529732,CHEMBL507674,CL,mL.min-1.kg-1,=,2.129,CHEMBL372,Homo sapiens,"Unbound biliary clearance in human at 2 gm, iv after 24 hrs by T-tube method",A,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,2.129,mL.min-1.kg-1,species_only_human
15464599,CHEMBL3529535,CHEMBL507674,CL,mL.min-1.kg-1,=,0.149,CHEMBL372,Homo sapiens,"Total biliary clearance in human at 2 gm, iv after 24 hrs by T-tube method",A,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,0.149,mL.min-1.kg-1,species_only_human
15464607,CHEMBL3529731,CHEMBL1201204,CL,mL.min-1.kg-1,=,1.0,CHEMBL372,Homo sapiens,"Unbound biliary clearance in human at 1 gm, iv after 24 hrs by T-tube method",A,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,1.0,mL.min-1.kg-1,species_only_human
15464608,CHEMBL3529534,CHEMBL1201204,CL,mL.min-1.kg-1,=,0.04,CHEMBL372,Homo sapiens,"Total biliary clearance in human at 1 gm, iv after 24 hrs by T-tube method",A,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,0.04,mL.min-1.kg-1,species_only_human
15464616,CHEMBL3529730,CHEMBL161,CL,mL.min-1.kg-1,=,0.933,CHEMBL372,Homo sapiens,Unbound biliary clearance in iv dosed human after 6 to 8 hrs by duodenal perfusion method,A,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,0.933,mL.min-1.kg-1,species_only_human
15464617,CHEMBL3529533,CHEMBL161,CL,mL.min-1.kg-1,=,0.07,CHEMBL372,Homo sapiens,Total biliary clearance in iv dosed human after 6 to 8 hrs by duodenal perfusion method,A,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,0.07,mL.min-1.kg-1,species_only_human
15464622,CHEMBL3529729,CHEMBL1541,CL,mL.min-1.kg-1,=,0.452,CHEMBL372,Homo sapiens,"Unbound biliary clearance in human at 200 mg, po after 24 hrs by T-tube method",A,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,0.452,mL.min-1.kg-1,species_only_human
15464623,CHEMBL3529532,CHEMBL1541,CL,mL.min-1.kg-1,=,0.14,CHEMBL372,Homo sapiens,"Total biliary clearance in human at 200 mg, po after 24 hrs by T-tube method",A,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,0.14,mL.min-1.kg-1,species_only_human
15464629,CHEMBL3529742,CHEMBL474579,CL,mL.min-1.kg-1,=,0.32,CHEMBL372,Homo sapiens,Unbound biliary clearance in iv dosed human after 7 hrs by duodenal perfusion method,A,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,0.32,mL.min-1.kg-1,species_only_human
15464635,CHEMBL3529551,CHEMBL1146,CL,mL.min-1.kg-1,=,0.048,CHEMBL372,Homo sapiens,Unbound biliary clearance in iv dosed human after 6 hrs,A,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,0.048,mL.min-1.kg-1,species_only_human
15464636,CHEMBL3529531,CHEMBL1146,CL,mL.min-1.kg-1,=,0.012,CHEMBL372,Homo sapiens,Total biliary clearance in iv dosed human after 6 hrs by T-tube method,A,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,0.012,mL.min-1.kg-1,species_only_human
15465845,CHEMBL3540984,CHEMBL11,CL,mL.min-1.kg-1,=,13.5,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,CN(C)CCCN1c2ccccc2CCc2ccccc21,13.5,mL.min-1.kg-1,species_only_human
15465846,CHEMBL3540984,CHEMBL521,CL,mL.min-1.kg-1,=,0.81,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.81,mL.min-1.kg-1,species_only_human
15465847,CHEMBL3540984,CHEMBL472,CL,mL.min-1.kg-1,=,1.3,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.3,mL.min-1.kg-1,species_only_human
15465848,CHEMBL3540984,CHEMBL1481,CL,mL.min-1.kg-1,=,0.69,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,0.69,mL.min-1.kg-1,species_only_human
15465849,CHEMBL3540984,CHEMBL35,CL,mL.min-1.kg-1,=,1.7,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,1.7,mL.min-1.kg-1,species_only_human
15465850,CHEMBL3540984,CHEMBL563,CL,mL.min-1.kg-1,=,0.45,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.45,mL.min-1.kg-1,species_only_human
15465851,CHEMBL3540984,CHEMBL726,CL,mL.min-1.kg-1,=,9.9,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,9.9,mL.min-1.kg-1,species_only_human
15465852,CHEMBL3540984,CHEMBL1297,CL,mL.min-1.kg-1,=,0.6,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,0.6,mL.min-1.kg-1,species_only_human
15465853,CHEMBL3540984,CHEMBL219916,CL,mL.min-1.kg-1,=,9.1,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,9.1,mL.min-1.kg-1,species_only_human
15465854,CHEMBL3540984,CHEMBL139,CL,mL.min-1.kg-1,=,4.0,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.0,mL.min-1.kg-1,species_only_human
15465855,CHEMBL3540984,CHEMBL415,CL,mL.min-1.kg-1,=,10.9,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,10.9,mL.min-1.kg-1,species_only_human
15465856,CHEMBL3540984,CHEMBL71,CL,mL.min-1.kg-1,=,8.6,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,8.6,mL.min-1.kg-1,species_only_human
15465857,CHEMBL3540984,CHEMBL113,CL,mL.min-1.kg-1,=,1.67,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1.67,mL.min-1.kg-1,species_only_human
15465858,CHEMBL3540984,CHEMBL296035,CL,mL.min-1.kg-1,=,8.8,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,8.8,mL.min-1.kg-1,species_only_human
15465859,CHEMBL3540984,CHEMBL277474,CL,mL.min-1.kg-1,=,0.57,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,Cc1cc(=O)n(-c2ccccc2)n1C,0.57,mL.min-1.kg-1,species_only_human
15465860,CHEMBL3540984,CHEMBL266195,CL,mL.min-1.kg-1,=,12.5,CHEMBL372,Homo sapiens,Hepatic clearance in human,A,C=CCc1ccccc1OCC(O)CNC(C)C,12.5,mL.min-1.kg-1,species_only_human
15466692,CHEMBL3539619,CHEMBL1229211,CL,mL.min-1.g-1,=,3.0,CHEMBL340,Homo sapiens,"Drug metabolism in supersomes expressing human recombinant CYP3A4 assessed as intrinsic clearance for NADPH-fortified enzyme-mediated metabolite M3 ((4R,12aS)-N-((3,5-difluorophenyl)(hydroxy)methyl)-7-hydroxy-4-methyl-6,8-dioxo-3,4,6,8,12,12a-hexahydro-2H-[1,3]oxazino[3,2-d]pyrido[1,2-a]pyrazine-9-carboxamide) formation at 5 uM after 120 mins by radio-HPLC analysis",A,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,0.003,mL.min-1.kg-1,species_only_human
15466693,CHEMBL3539618,CHEMBL1229211,CL,mL.min-1.g-1,=,0.0032,CHEMBL1287617,Homo sapiens,"Drug metabolism assessed as intrinsic clearance for human recombinant UGT1A1-mediated DTG glucuronide M2 ((2S,3S,4S,5R,6S)-6-((4R,12aS)-9-(2,4-difluorobenzylcarbamoyl)-4-methyl-6,8-dioxo-3,4,6,8,12,12a-hexahydro-2H-[1,3]oxazino[3,2-d]pyrido[1,2-a]pyrazin-7-yloxy)-3,4,5-trihydroxytetrahydro-2H-pyran-2-carboxylic acid) formation after 120 mins measured per mg of protein by radio-HPLC analysis",A,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,3.2000000000000003e-06,mL.min-1.kg-1,species_only_human
15467617,CHEMBL3540230,CHEMBL54,CL,mL.min-1.g-1,=,0.009,CHEMBL3619,Homo sapiens,Intrinsic clearance in recombinant human UGT1A4 measured per mg of protein at 10 to 400 uM by LC-MS/MS analysis,A,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,8.999999999999999e-06,mL.min-1.kg-1,species_only_human
15467620,CHEMBL3540233,CHEMBL54,CL,mL.min-1.g-1,=,0.016,CHEMBL1743319,Homo sapiens,Intrinsic clearance in recombinant human UGT1A9 measured per mg of protein at 10 to 400 uM by LC-MS/MS analysis,A,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1.6e-05,mL.min-1.kg-1,species_only_human
15467624,CHEMBL3537951,CHEMBL54,CL,mL.min-1.g-1,=,0.023,CHEMBL4370,Homo sapiens,Intrinsic clearance in recombinant human UGT2B7 measured per mg of protein at 10 to 400 uM by LC-MS/MS analysis,A,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,2.3e-05,mL.min-1.kg-1,species_only_human
15467876,CHEMBL3542038,CHEMBL1200681,CL,mL.min-1.kg-1,=,0.578,CHEMBL372,Homo sapiens,"Plasma clearance in human at 3 to 18 mg, iv",A,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+],0.578,mL.min-1.kg-1,species_only_human
15468868,CHEMBL3534362,CHEMBL3527359,CL,mL.min-1.g-1,=,0.0123,CHEMBL1743317,Homo sapiens,Activity of human recombinant UGT1A7 expressed in baculovirus-infected insect cells assessed as intrinsic clearance for enzyme-mediated glucuronide formation per mg of protein at 1 to 250 uM after 10 mins by Michaelis-Menten plot analysis in presence of UDPGA,A,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,1.23e-05,mL.min-1.kg-1,species_only_human
15468871,CHEMBL3534365,CHEMBL3527359,CL,mL.min-1.g-1,=,0.0515,CHEMBL1743318,Homo sapiens,Activity of human recombinant UGT1A8 expressed in baculovirus-infected insect cells assessed as intrinsic clearance for enzyme-mediated glucuronide formation per mg of protein at 1 to 250 uM after 10 mins in presence of UDPGA,A,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,5.15e-05,mL.min-1.kg-1,species_only_human
15468874,CHEMBL3527842,CHEMBL3527359,CL,mL.min-1.g-1,=,0.132,CHEMBL1743319,Homo sapiens,Activity of human recombinant UGT1A9 expressed in baculovirus-infected insect cells assessed as intrinsic clearance for enzyme-mediated glucuronide formation per mg of protein at 1 to 250 uM after 5 mins by Michaelis-Menten plot analysis in presence of UDPGA,A,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,0.000132,mL.min-1.kg-1,species_only_human
15468878,CHEMBL3527846,CHEMBL3527359,CL,mL.min-1.g-1,=,0.0398,CHEMBL1743320,Homo sapiens,Activity of human recombinant UGT1A10 expressed in baculovirus-infected insect cells assessed as intrinsic clearance for enzyme-mediated glucuronide formation per mg of protein at 1 to 250 uM after 10 mins in presence of UDPGA,A,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,3.9800000000000005e-05,mL.min-1.kg-1,species_only_human
15468922,CHEMBL3538261,CHEMBL3527359,CL,mL.min-1.g-1,=,0.138,CHEMBL1743319,Homo sapiens,Activity of human recombinant UGT1A9 expressed in baculovirus-infected insect cells assessed as unbound intrinsic clearance for enzyme-mediated glucuronidation per mg of protein after 5 mins by Michaelis-Menten plot analysis in presence of UDPGA and absence of fatty acid free BSA,A,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,0.00013800000000000002,mL.min-1.kg-1,species_only_human
15468923,CHEMBL3538262,CHEMBL3527359,CL,mL.min-1.g-1,=,0.25,CHEMBL1743319,Homo sapiens,Activity of human recombinant UGT1A9 expressed in baculovirus-infected insect cells assessed as unbound intrinsic clearance for enzyme-mediated glucuronidation per mg of protein after 5 mins by Michaelis-Menten plot analysis in presence of UDPGA and 0.1% fatty acid free BSA,A,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,0.00025,mL.min-1.kg-1,species_only_human
15468924,CHEMBL3538263,CHEMBL3527359,CL,mL.min-1.g-1,=,0.257,CHEMBL1743319,Homo sapiens,Activity of human recombinant UGT1A9 expressed in baculovirus-infected insect cells assessed as unbound intrinsic clearance for enzyme-mediated glucuronidation per mg of protein after 5 mins by Michaelis-Menten plot analysis in presence of UDPGA and 0.5% fatty acid free BSA,A,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,0.000257,mL.min-1.kg-1,species_only_human
15468925,CHEMBL3538264,CHEMBL3527359,CL,mL.min-1.g-1,=,0.316,CHEMBL1743319,Homo sapiens,Activity of human recombinant UGT1A9 expressed in baculovirus-infected insect cells assessed as unbound intrinsic clearance for enzyme-mediated glucuronidation per mg of protein after 5 mins by Michaelis-Menten plot analysis in presence of UDPGA and 2% fatty acid free BSA,A,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,0.000316,mL.min-1.kg-1,species_only_human
15469189,CHEMBL3541978,CHEMBL888,CL,mL.min-1.g-1,=,402800.0,CHEMBL612558,,"Drug metabolism assessed as intrinsic clearance for 2',2'-difluorodeoxycytidine formation incubated for 1 min in presence of human recombinant N-terminal His-tagged DCK Pro122Ser mutant expressed in Escherichia coli BL21(DE3) cells by liquid chromatography-tandem mass spectrometry",A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,402.8,mL.min-1.kg-1,species_only_human
15469191,CHEMBL3541976,CHEMBL888,CL,mL.min-1.g-1,=,477100.0,CHEMBL612558,,"Drug metabolism assessed as intrinsic clearance for 2',2'-difluorodeoxycytidine formation incubated for 1 min in presence of human recombinant N-terminal His-tagged DCK Ala119Gly mutant expressed in Escherichia coli BL21(DE3) cells by liquid chromatography-tandem mass spectrometry",A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,477.1,mL.min-1.kg-1,species_only_human
15469192,CHEMBL3541975,CHEMBL888,CL,mL.min-1.g-1,=,491900.0,CHEMBL2447,Homo sapiens,"Drug metabolism assessed as intrinsic clearance for 2',2'-difluorodeoxycytidine formation incubated for 1 min in presence of human recombinant N-terminal His-tagged wild type DCK expressed in Escherichia coli BL21(DE3) cells by liquid chromatography-tandem mass spectrometry",A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,491.9,mL.min-1.kg-1,species_only_human
15469199,CHEMBL3541971,CHEMBL803,CL,mL.min-1.g-1,=,830.0,CHEMBL4502,Homo sapiens,Activity of human recombinant N-terminal His-SUMO fused wild type CDA expressed in Escherichia coli BL21(DE3) cells assessed as intrinsic clearance for arabinofuranosyl uridine formation by liquid chromatography-tandem mass spectrometry,A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.83,mL.min-1.kg-1,species_only_human
15469200,CHEMBL3541970,CHEMBL803,CL,mL.min-1.g-1,=,740.0,CHEMBL4502,Homo sapiens,Activity of human recombinant N-terminal His-SUMO fused CDA Lys27Gln mutant expressed in Escherichia coli BL21(DE3) cells assessed as intrinsic clearance for arabinofuranosyl uridine formation by liquid chromatography-tandem mass spectrometry,A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.74,mL.min-1.kg-1,species_only_human
15469201,CHEMBL3541969,CHEMBL803,CL,mL.min-1.g-1,=,340.0,CHEMBL4502,Homo sapiens,Activity of human recombinant N-terminal His-SUMO fused CDA Ala70Thr mutant expressed in Escherichia coli BL21(DE3) cells assessed as intrinsic clearance for arabinofuranosyl uridine formation by liquid chromatography-tandem mass spectrometry,A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.34,mL.min-1.kg-1,species_only_human
15469205,CHEMBL3541965,CHEMBL888,CL,mL.min-1.g-1,=,300.0,CHEMBL4502,Homo sapiens,"Activity of human recombinant N-terminal His-SUMO fused wild type CDA expressed in Escherichia coli BL21(DE3) cells assessed as intrinsic clearance for 2',2'-difluorodeoxyuridine formation by liquid chromatography-tandem mass spectrometry",A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.3,mL.min-1.kg-1,species_only_human
15469206,CHEMBL3538246,CHEMBL888,CL,mL.min-1.g-1,=,350.0,CHEMBL4502,Homo sapiens,"Activity of human recombinant N-terminal His-SUMO fused CDA Lys27Gln mutant expressed in Escherichia coli BL21(DE3) cells assessed as intrinsic clearance for 2',2'-difluorodeoxyuridine formation by liquid chromatography-tandem mass spectrometry",A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.35,mL.min-1.kg-1,species_only_human
15469207,CHEMBL3538245,CHEMBL888,CL,mL.min-1.g-1,=,250.0,CHEMBL4502,Homo sapiens,"Activity of human recombinant N-terminal His-SUMO fused CDA Ala70Thr mutant expressed in Escherichia coli BL21(DE3) cells assessed as intrinsic clearance for 2',2'-difluorodeoxyuridine formation by liquid chromatography-tandem mass spectrometry",A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.25,mL.min-1.kg-1,species_only_human
15469212,CHEMBL3538240,CHEMBL803,CL,mL.min-1.g-1,=,231400.0,CHEMBL2447,Homo sapiens,Drug metabolism assessed as intrinsic clearance for human recombinant N-terminal His-tagged wild type DCK-mediated cytosine-beta-D-arabinofuranoside-5'-MP formation expressed in Escherichia coli BL21(DE3) incubated for 3 mins by liquid chromatography-tandem mass spectrometry,A,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,231.4,mL.min-1.kg-1,species_only_human
